1 , INDIVIDUAL , BAÑERA , SI , 1
2 , DOBLE , BAÑERA , NO , 1
3 , INDIVIDUAL , BAÑERA , NO , 1
4 , TRIPLE , BAÑERA , NO , 1
5 , TRIPLE , BAÑERA , NO , 1
6 , DOBLE , DUCHA , NO , 1
7 , INDIVIDUAL , DUCHA , NO , 1
8 , INDIVIDUAL , DUCHA , NO , 1
9 , INDIVIDUAL , BAÑERA , NO , 1
10 , DOBLE , BAÑERA , NO , 1
11 , DOBLE , DUCHA , NO , 1
12 , INDIVIDUAL , DUCHA , NO , 1
13 , DOBLE , DUCHA , NO , 1
14 , DOBLE , DUCHA , SI , 1
15 , DOBLE , DUCHA , NO , 1
16 , DOBLE , BAÑERA , SI , 1
17 , DOBLE , BAÑERA , SI , 1
18 , TWIN , DUCHA , NO , 1
19 , DOBLE , BAÑERA , NO , 1
20 , DOBLE , DUCHA , NO , 1
21 , INDIVIDUAL , JACUZZI , NO , 1
22 , DOBLE , DUCHA , SI , 1
23 , INDIVIDUAL , BAÑERA , SI , 1
24 , SUITE , BAÑERA , NO , 1
25 , DOBLE , BAÑERA , SI , 1
26 , DOBLE , DUCHA , NO , 1
27 , TRIPLE , DUCHA , SI , 1
28 , DOBLE , DUCHA , NO , 1
29 , DOBLE , BAÑERA , SI , 1
30 , INDIVIDUAL , DUCHA , NO , 1
31 , TWIN , DUCHA , NO , 1
32 , DOBLE , DUCHA , NO , 1
33 , DOBLE , BAÑERA , NO , 1
34 , DOBLE , BAÑERA , NO , 1
35 , DOBLE , DUCHA , NO , 1
36 , DOBLE , BAÑERA , NO , 1
37 , DOBLE , DUCHA , NO , 1
38 , TWIN , BAÑERA , NO , 1
39 , INDIVIDUAL , DUCHA , SI , 1
40 , DOBLE , BAÑERA , NO , 1
41 , DOBLE , BAÑERA , NO , 1
42 , INDIVIDUAL , DUCHA , NO , 1
43 , TWIN , JACUZZI , NO , 1
44 , DOBLE , BAÑERA , NO , 1
45 , INDIVIDUAL , DUCHA , NO , 1
46 , DOBLE , DUCHA , NO , 1
47 , INDIVIDUAL , BAÑERA , SI , 1
48 , DOBLE , DUCHA , NO , 1
49 , INDIVIDUAL , BAÑERA , SI , 1
50 , INDIVIDUAL , DUCHA , NO , 1
51 , DOBLE , DUCHA , NO , 2
52 , TRIPLE , DUCHA , NO , 2
53 , DOBLE , DUCHA , SI , 2
54 , DOBLE , BAÑERA , SI , 2
55 , TWIN , DUCHA , NO , 2
56 , TWIN , BAÑERA , NO , 2
57 , DOBLE , JACUZZI , NO , 2
58 , DOBLE , DUCHA , NO , 2
59 , TWIN , DUCHA , NO , 2
60 , DOBLE , DUCHA , NO , 2
61 , INDIVIDUAL , BAÑERA , NO , 2
62 , DOBLE , DUCHA , SI , 2
63 , SUITE , DUCHA , NO , 2
64 , INDIVIDUAL , JACUZZI , NO , 2
65 , TRIPLE , BAÑERA , NO , 2
