1001 ALICANTE                       144 NO 10038
1002 CORDOBA                        389 NO 10194
1003 PALENCIA                       236 NO 10090
1004 ALICANTE                       239 NO 10096
1005 LUGO                           294 SI 10032
1006 BARCELONA                      242 NO 10067
1007 HUESCA                         116 NO 10200
1008 CADIZ                          220 SI 10066
1009 NAVARRA                        181 SI 10108
1010 ALAVA                          280 NO 10163
1011 NAVARRA                        157 NO 10012
1012 MALAGA                         117 NO 10014
1013 TOLEDO                         308 NO 10001
1014 MALAGA                         266 NO 10095
1015 LERIDA                         203 NO 10112
1016 BARCELONA                      258 NO 10123
1017 GERONA                         366 NO 10048
1018 BURGOS                         258 NO 10091
1019 CANTABRIA                      240 SI 10010
1020 VIZCAYA                        166 SI 10183
1021 LAS PALMAS                     381 SI 10077
1022 SEGOVIA                        298 NO 10193
1023 LEON                           342 NO 10172
1024 HUESCA                         109 NO 10014
1025 BARAJOZ                        227 NO 10154
1026 BALEARES                       317 SI 10112
1027 CANTABRIA                      176 NO 10193
1028 SEVILLA                        340 NO 10199
1029 ORENSE                         207 SI 10058
1030 BARAJOZ                        308 NO 10093
1031 SEGOVIA                        242 SI 10079
1032 MADRID                         200 NO 10160
1033 CANTABRIA                      164 NO 10089
1034 LUGO                           310 NO 10145
1035 SALAMANCA                      203 SI 10107
1036 BALEARES                       368 SI 10063
1037 HUESCA                         231 NO 10136
1038 LAS PALMAS                     103 NO 10027
1039 ZAMORA                         276 NO 10187
1040 MURCIA                         166 NO 10114
1041 SALAMANCA                      285 SI 10144
1042 GUADALAJARA                    273 NO 10156
1043 SALAMANCA                      152 NO 10136
1044 CACERES                        180 NO 10187
1045 TARRAGONA                      186 NO 10047
1046 VALENCIA                       133 NO 10039
1047 CADIZ                          314 NO 10093
1048 ZARAGOZA                       157 NO 10147
1049 MADRID                         207 SI 10126
1050 VALLADOLID                     250 SI 10016
1051 SEVILLA                        299 NO 10125
1052 ZAMORA                         200 NO 10056
1053 ZARAGOZA                       272 SI 10090
1054 AVILA                          249 NO 10100
1055 LA CORUÑA                      116 SI 10018
1056 VALENCIA                       112 SI 10184
1057 GERONA                         102 NO 10006
1058 ALBACETE                       248 NO 10042
1059 ALAVA                          260 NO 10031
1060 CACERES                        211 NO 10135
1061 CASTELLON                      230 NO 10193
1062 MELILLA                        288 SI 10198
1063 ASTURIAS                       387 SI 10114
1064 ALBACETE                       151 NO 10130
1065 CEUTA                          111 NO 10092
1066 SEVILLA                        267 NO 10072
1067 TOLEDO                         142 SI 10047
1068 LERIDA                         111 NO 10050
1069 LEON                           274 NO 10129
1070 GERONA                         272 SI 10044
1071 LUGO                           122 SI 10044
1072 CUENCA                         300 NO 10123
1073 SEVILLA                        268 NO 10019
1074 VALLADOLID                     265 NO 10075
1075 ALBACETE                       133 NO 10067
1076 VIZCAYA                        116 NO 10048
1077 ORENSE                         280 NO 10087
1078 MURCIA                         351 SI 10124
1079 GRANADA                        244 NO 10069
1080 HUELVA                         360 NO 10158
1081 CORDOBA                        213 NO 10103
1082 HUELVA                         295 NO 10159
1083 ASTURIAS                       329 NO 10177
1084 CASTELLON                      152 NO 10013
1085 MALAGA                         341 SI 10131
1086 ORENSE                         262 NO 10030
1087 CADIZ                          178 NO 10136
1088 LUGO                           353 NO 10127
1089 PONTEVEDRA                     321 NO 10090
1090 LEON                           212 NO 10141
1091 ASTURIAS                       215 NO 10154
1092 LA CORUÑA                      236 NO 10149
1093 TERUEL                         165 NO 10135
1094 VIZCAYA                        277 SI 10051
1095 AVILA                          340 NO 10107
1096 TERUEL                         155 SI 10041
1097 ALAVA                          186 NO 10120
1098 LAS PALMAS                     372 SI 10075
1099 CADIZ                          379 NO 10074
1100 ALBACETE                       369 NO 10166
1101 LA CORUÑA                      164 SI 10049
1102 TERUEL                         302 NO 10154
1103 LUGO                           198 NO 10129
1104 VALENCIA                       260 NO 10111
1105 MALAGA                         182 NO 10018
1106 ORENSE                         381 SI 10058
1107 CIUDAD REAL                    226 NO 10035
1108 ASTURIAS                       317 SI 10175
1109 CACERES                        186 NO 10120
1110 BARCELONA                      268 NO 10055
1111 JAEN                           393 NO 10010
1112 MADRID                         117 NO 10036
1113 ALMERIA                        335 NO 10089
1114 PALENCIA                       232 NO 10142
1115 ALICANTE                       355 NO 10148
1116 ALICANTE                       136 NO 10045
1117 AVILA                          162 SI 10029
1118 TOLEDO                         155 NO 10070
1119 CEUTA                          304 NO 10065
1120 CUENCA                         243 SI 10058
1121 PONTEVEDRA                     107 NO 10001
1122 ORENSE                         171 NO 10197
1123 SORIA                          107 NO 10107
1124 BALEARES                       193 NO 10124
1125 MELILLA                        274 NO 10070
1126 CADIZ                          156 NO 10150
1127 TOLEDO                         275 SI 10020
