1      3988  29-7-2018   2-8-2018    PENSION COMPLETA
2      4418  19-7-2017   2-8-2017    MEDIA PENSION
3      3144  10-10-2018  15-10-2018  PENSION COMPLETA
4      1660  19-7-2019   22-7-2019   PENSION COMPLETA
5      5941  29-7-2018   30-7-2018   MEDIA PENSION
6      92  7-1-2019    13-1-2019   DESAYUNO
7      3086  8-5-2019    12-5-2019   DESAYUNO
8      1851  17-2-2017   28-2-2017   PENSION COMPLETA
9      172  5-2-2019    13-2-2019   DESAYUNO
10      264  20-6-2019   21-6-2019   DESAYUNO
11     1008  23-3-2019   31-3-2019   ALOJAMIENTO
12     809  7-3-2019    15-3-2019   MEDIA PENSION
13     1429  6-12-2017   13-12-2017  DESAYUNO
14     4896  16-7-2018   28-7-2018   ALOJAMIENTO
15     4759  1-9-2017    12-9-2017   DESAYUNO
16     1815  23-3-2018   27-3-2018   PENSION COMPLETA
17     3001  21-4-2017   26-4-2017   DESAYUNO
18     598  1-12-2018   8-12-2018   DESAYUNO
19     858  29-8-2018   30-8-2018   ALOJAMIENTO
20     2528  16-1-2017   23-1-2017   MEDIA PENSION
21     842  8-9-2018    14-9-2018   ALOJAMIENTO
22     3381  28-4-2017   10-5-2017   DESAYUNO
23     719  23-10-2019  26-10-2019  MEDIA PENSION
24     4655  21-4-2018   2-5-2018    ALOJAMIENTO
25     5844  22-3-2018   3-4-2018    DESAYUNO
26     4244  13-4-2017   22-4-2017   ALOJAMIENTO
27     1136  22-9-2018   28-9-2018   PENSION COMPLETA
28     4590  9-5-2017    19-5-2017   DESAYUNO
29     2765  26-3-2019   7-4-2019    ALOJAMIENTO
30     1244  18-5-2019   26-5-2019   DESAYUNO
31     3320  5-6-2018    16-6-2018   TODO INCLUIDO
32     4336  25-10-2017  28-10-2017  PENSION COMPLETA
33     4693  10-10-2019  19-10-2019  ALOJAMIENTO
34     2009  11-8-2018   15-8-2018   MEDIA PENSION
35     850  19-12-2017  1-1-2018    DESAYUNO
36     3788  10-7-2019   11-7-2019   DESAYUNO
37     941  24-5-2018   5-6-2018    DESAYUNO
38     5234  7-4-2018    9-4-2018    DESAYUNO
39     5324  12-7-2019   19-7-2019   ALOJAMIENTO
40     4089  29-6-2017   30-6-2017   PENSION COMPLETA
41     1518  12-7-2017   20-7-2017   MEDIA PENSION
42     1947  23-12-2019  24-12-2019  MEDIA PENSION
43     3757  17-4-2017   26-4-2017   ALOJAMIENTO
44     5803  13-10-2019  19-10-2019  DESAYUNO
45     1893  6-12-2018   21-12-2018  DESAYUNO
46     4385  20-2-2018   5-3-2018    ALOJAMIENTO
47     2291  30-1-2019   7-2-2019    MEDIA PENSION
48     4263  23-1-2018   1-2-2018    ALOJAMIENTO
49     4488  16-1-2018   20-1-2018   TODO INCLUIDO
50     837  4-8-2018    19-8-2018   DESAYUNO
51     5333  20-1-2019   4-2-2019    ALOJAMIENTO
52     3569  14-8-2017   22-8-2017   ALOJAMIENTO
53     2578  15-6-2019   25-6-2019   TODO INCLUIDO
54     1986  20-6-2018   30-6-2018   MEDIA PENSION
55     2517  25-10-2018  28-10-2018  DESAYUNO
56     1483  2-6-2019    10-6-2019   MEDIA PENSION
57     2618  11-11-2018  25-11-2018  DESAYUNO
58     5951  31-7-2017   15-8-2017   ALOJAMIENTO
59     4227  18-4-2018   27-4-2018   MEDIA PENSION
60     1907  28-12-2018  1-1-2019    PENSION COMPLETA
61     3897  24-1-2019   26-1-2019   PENSION COMPLETA
62     2472  19-5-2018   1-6-2018    ALOJAMIENTO
63     403  2-2-2017    12-2-2017   DESAYUNO
64     5182  11-6-2017   22-6-2017   DESAYUNO
65     271  31-12-2018  12-1-2019   ALOJAMIENTO
66     3866  24-1-2018   29-1-2018   DESAYUNO
67     4339  26-9-2017   29-9-2017   DESAYUNO
68     5939  13-4-2017   26-4-2017   TODO INCLUIDO
69     1381  24-4-2019   4-5-2019    ALOJAMIENTO
70     1988  13-11-2019  19-11-2019  MEDIA PENSION
71     5872  20-12-2017  2-1-2018    DESAYUNO
72     1486  22-4-2017   4-5-2017    DESAYUNO
73     5333  3-1-2018    18-1-2018   ALOJAMIENTO
74     5774  17-12-2018  19-12-2018  DESAYUNO
75     5357  10-4-2017   23-4-2017   ALOJAMIENTO
76     4856  16-6-2017   22-6-2017   DESAYUNO
77     900  3-5-2018    5-5-2018    DESAYUNO
78     1414  23-4-2019   29-4-2019   TODO INCLUIDO
79     3198  4-7-2018    13-7-2018   ALOJAMIENTO
80     2766  30-9-2017   4-10-2017   MEDIA PENSION
81     1947  27-8-2019   2-9-2019    PENSION COMPLETA
82     1455  30-7-2018   6-8-2018    ALOJAMIENTO
83     3345  17-10-2017  23-10-2017  PENSION COMPLETA
84     1853  26-7-2018   7-8-2018    DESAYUNO
85     4359  1-4-2018    10-4-2018   ALOJAMIENTO
86     5270  3-5-2019    7-5-2019    DESAYUNO
87     5691  30-4-2019   3-5-2019    ALOJAMIENTO
88     5071  18-2-2019   1-3-2019    DESAYUNO
89     5339  11-9-2017   12-9-2017   DESAYUNO
90     5344  31-5-2018   6-6-2018    ALOJAMIENTO
91     2103  22-4-2018   29-4-2018   DESAYUNO
92     1587  19-12-2017  26-12-2017  DESAYUNO
93     3594  3-10-2017   14-10-2017  DESAYUNO
94     1130  3-8-2017    10-8-2017   MEDIA PENSION
95     2217  14-9-2018   22-9-2018   DESAYUNO
96     5192  22-8-2018   26-8-2018   DESAYUNO
97     3270  22-4-2018   27-4-2018   PENSION COMPLETA
98     2275  25-12-2019  2-1-2020    ALOJAMIENTO
99     2822  12-12-2017  22-12-2017  DESAYUNO
100     1378  31-3-2017   6-4-2017    DESAYUNO
101    1494  29-1-2017   10-2-2017   DESAYUNO
102    2375  9-6-2018    17-6-2018   DESAYUNO
103    1787  6-5-2018    17-5-2018   MEDIA PENSION
104    1231  11-4-2019   24-4-2019   DESAYUNO
105    1738  12-4-2017   26-4-2017   ALOJAMIENTO
106    5456  31-1-2017   3-2-2017    DESAYUNO
107    3621  29-6-2018   12-7-2018   ALOJAMIENTO
108    3088  14-3-2017   24-3-2017   DESAYUNO
109    133  31-12-2017  1-1-2018    ALOJAMIENTO
110    5735  28-6-2017   10-7-2017   DESAYUNO
111    4513  10-6-2018   11-6-2018   ALOJAMIENTO
112    694  15-5-2017   19-5-2017   DESAYUNO
113    2078  12-2-2019   23-2-2019   PENSION COMPLETA
